Date,Open,High,Low,Close,Volume,Adj Close
2013-08-26,625.75,625.75,605.42,610.61,590200,610.61
2013-08-19,619.15,627.59,616.86,626.11,494200,626.11
2013-08-12,639.61,639.61,615.63,618.21,451800,618.21
2013-08-05,641.22,656.98,637.68,637.96,568000,637.96
2013-07-29,598.87,649.65,567.02,645.57,1728100,645.57
2013-07-22,594.34,604.85,589.65,598.15,577700,598.15
2013-07-15,599.24,600.95,582.95,593.33,598500,593.33
2013-07-08,597.18,602.74,587.38,598.86,549000,598.86
2013-07-01,578.61,595.03,577.55,595.03,550900,595.03
2013-06-24,563.37,577.43,557.48,574.50,788400,573.91
2013-06-17,574.07,591.89,568.88,573.29,835900,572.70
2013-06-10,567.60,575.54,557.06,571.16,582000,570.58
2013-06-03,571.34,576.90,557.10,566.25,585300,565.67
2013-05-28,580.00,585.27,569.61,570.25,452700,569.67
2013-05-20,583.14,589.00,563.32,571.46,487600,570.88
2013-05-13,553.00,585.00,553.00,584.78,544300,584.18
2013-05-06,553.60,557.54,533.79,555.13,476800,554.56
2013-04-29,537.48,557.66,535.35,553.55,786300,552.98
2013-04-22,522.05,539.00,518.79,535.33,379200,534.78
2013-04-15,530.23,533.85,518.56,521.96,572500,521.43
2013-04-08,530.69,542.32,523.15,532.99,599000,532.44
2013-04-01,542.44,546.90,526.99,531.60,494800,531.06
2013-03-25,520.25,541.96,518.77,541.13,692400,539.97
2013-03-18,515.31,519.66,508.16,517.50,540800,516.39
2013-03-11,529.58,532.47,518.22,519.37,615300,518.26
2013-03-04,515.98,531.23,515.76,529.23,526200,528.09
2013-02-25,525.34,526.00,507.36,518.30,678200,517.19
2013-02-19,525.00,526.49,510.56,523.83,575400,522.71
2013-02-11,525.62,526.16,516.15,523.13,535500,522.01
2013-02-04,516.29,524.47,512.09,524.47,637600,523.34
2013-01-28,520.94,535.35,513.00,518.71,1175900,517.60
2013-01-22,524.79,525.70,514.63,519.42,636900,518.31
2013-01-14,529.55,529.98,513.42,521.00,759500,519.88
2013-01-07,512.50,532.47,511.66,528.68,976600,527.55
2012-12-31,483.37,515.46,482.90,510.98,994100,509.58
2012-12-24,492.86,496.25,481.12,483.08,484000,481.76
2012-12-17,483.42,498.62,481.08,493.57,742100,492.22
2012-12-10,480.36,487.60,475.48,482.30,697700,480.98
2012-12-03,491.00,494.51,473.86,476.09,678700,474.79
2012-11-26,480.18,490.75,474.77,488.68,706800,487.35
2012-11-19,469.40,482.58,468.39,481.24,473300,479.93
2012-11-12,465.68,476.92,453.57,464.59,683200,463.32
2012-11-05,467.26,472.89,458.48,464.66,610900,463.39
2012-10-31,452.52,476.99,451.18,469.45,1026900,468.17
2012-10-22,472.98,472.98,447.38,452.98,758400,451.74
2012-10-15,472.34,486.08,467.90,470.06,793100,468.78
2012-10-08,474.24,476.04,460.48,473.36,791400,472.07
2012-10-01,453.18,483.00,452.50,475.27,752500,473.97
2012-09-24,457.50,457.73,445.77,451.48,559900,449.96
2012-09-17,454.32,461.79,447.25,459.52,782500,457.98
2012-09-10,436.62,456.66,436.33,454.18,717000,452.65
2012-09-04,417.54,436.79,417.54,436.20,659200,434.73
2012-08-27,422.49,426.47,419.01,422.90,422800,421.48
2012-08-20,427.10,429.81,416.67,422.45,528400,421.03
2012-08-13,424.57,433.15,422.12,426.81,466700,425.38
2012-08-06,424.20,427.86,413.18,426.03,831100,424.60
2012-07-30,436.20,446.75,418.10,424.13,1297400,422.70
2012-07-23,416.27,436.75,404.70,436.75,827500,435.28
2012-07-16,439.77,448.00,421.43,423.15,932000,421.73
2012-07-09,434.33,436.43,412.84,429.60,785700,428.16
2012-07-02,435.07,445.25,430.16,441.63,629400,440.15
2012-06-25,432.85,435.73,416.76,430.11,732400,428.37
2012-06-18,424.93,435.08,420.60,435.08,648600,433.32
2012-06-11,420.50,426.69,408.00,426.69,703800,424.97
2012-06-04,391.70,425.07,390.10,416.55,919400,414.87
2012-05-29,417.33,419.75,389.90,391.78,832500,390.20
2012-05-21,396.00,428.77,394.20,413.96,1032700,412.29
2012-05-14,418.17,421.00,394.56,394.56,1100300,392.97
2012-05-07,434.65,442.82,418.27,422.40,1012800,420.69
2012-04-30,459.40,466.98,433.84,439.69,1576400,437.91
2012-04-23,436.01,462.34,420.75,457.58,1017300,455.73
2012-04-16,440.87,443.29,429.01,440.44,681500,438.66
2012-04-09,432.94,443.80,424.19,440.46,856400,438.68
2012-04-02,421.84,442.20,419.00,439.85,970000,438.07
2012-03-26,427.29,437.56,420.00,420.54,797300,418.55
2012-03-19,419.77,428.10,415.01,424.01,658300,422.01
2012-03-12,418.07,426.13,416.80,420.17,673200,418.19
2012-03-05,414.52,421.07,406.28,419.52,810300,417.54
2012-02-27,412.33,428.57,410.97,412.78,956200,410.83
2012-02-21,395.45,418.76,394.01,415.61,1069000,413.65
2012-02-13,399.52,400.00,389.77,396.00,714400,394.13
2012-02-06,393.00,401.79,387.00,396.14,1027900,394.27
2012-01-30,346.97,391.30,346.25,390.32,1816200,388.48
2012-01-23,339.95,354.94,336.26,348.79,852800,347.14
